Autodetected device type: cuda
2026-09-15 22:30:55,122 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 1
COMPUTE_DTYPE: torch.bfloat16 (auto-detected: CUDA SM 86 (bf16 supported))
GPU: NVIDIA GeForce RTX 3090 | Peak FLOPS (BF16): 7.10e+13
2026-09-15 22:30:55,123 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading model from /local/s4414268/nanochat/results/task2_models/vocab_32768/base_checkpoints/d2_bpb with step 420
2026-09-15 22:30:55,296 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Building model with config: {'sequence_len': 2048, 'vocab_size': 32768, 'n_layer': 2, 'n_head': 1, 'n_kv_head': 1, 'n_embd': 128, 'window_pattern': 'SSSL'}
Inherited max_seq_len=2048 from pretrained checkpoint
Using device_batch_size=8
Inherited total_batch_size=131072 from pretrained checkpoint
Inherited embedding_lr=0.3 from pretrained checkpoint
Inherited unembedding_lr=0.008 from pretrained checkpoint
Inherited matrix_lr=0.02 from pretrained checkpoint
Tokens / micro-batch / rank: 8 x 2048 = 16,384
Tokens / micro-batch: 16,384
Total batch size 131,072 => gradient accumulation steps: 8
Scaling the LR for the AdamW parameters ∝1/√(128/768) = 2.449490
2026-09-15 22:30:56,556 - nanochat.checkpoint_manager - [32m[1mINFO[0m - Loading optimizer state from /local/s4414268/nanochat/results/task2_models/vocab_32768/base_checkpoints/d2_bpb/optim_000420_rank0.pt
Loaded optimizer state from pretrained checkpoint (momentum buffers only, LRs reset)
Training mixture: 329,418 rows (MMLU x3, GSM8K x4)
Validation mixture: 15,361 rows (MMLU + GSM8K)
Step 00000 | Validation bpb: 2.3915
step 00050 (5.40%) | loss: 2.256232 | lrm: 1.00 | dt: 168.01ms | tok/sec: 780,158 | mfu: 34.57 | epoch: 1 | total time: 0.11m
Step 00050 | Validation bpb: 1.3383
step 00051 (5.50%) | loss: 2.188961 | lrm: 1.00 | dt: 169.89ms | tok/sec: 771,531 | mfu: 34.18 | epoch: 1 | total time: 0.12m
step 00052 (5.61%) | loss: 2.210419 | lrm: 1.00 | dt: 171.92ms | tok/sec: 762,387 | mfu: 33.78 | epoch: 1 | total time: 0.12m
step 00053 (5.73%) | loss: 2.187818 | lrm: 1.00 | dt: 169.35ms | tok/sec: 773,980 | mfu: 34.29 | epoch: 1 | total time: 0.12m
step 00054 (5.83%) | loss: 2.121896 | lrm: 1.00 | dt: 170.64ms | tok/sec: 768,139 | mfu: 34.03 | epoch: 1 | total time: 0.12m
step 00055 (5.94%) | loss: 2.090953 | lrm: 1.00 | dt: 176.93ms | tok/sec: 740,811 | mfu: 32.82 | epoch: 1 | total time: 0.13m
step 00056 (6.05%) | loss: 2.040337 | lrm: 1.00 | dt: 167.65ms | tok/sec: 781,833 | mfu: 34.64 | epoch: 1 | total time: 0.13m
step 00057 (6.16%) | loss: 2.010454 | lrm: 1.00 | dt: 173.10ms | tok/sec: 757,216 | mfu: 33.55 | epoch: 1 | total time: 0.13m
step 00058 (6.26%) | loss: 1.879009 | lrm: 1.00 | dt: 168.61ms | tok/sec: 777,375 | mfu: 34.44 | epoch: 1 | total time: 0.14m
step 00059 (6.37%) | loss: 1.873213 | lrm: 1.00 | dt: 178.14ms | tok/sec: 735,800 | mfu: 32.60 | epoch: 1 | total time: 0.14m
step 00060 (6.48%) | loss: 1.803780 | lrm: 1.00 | dt: 163.45ms | tok/sec: 801,904 | mfu: 35.53 | epoch: 1 | total time: 0.14m
step 00061 (6.59%) | loss: 1.802233 | lrm: 1.00 | dt: 177.90ms | tok/sec: 736,754 | mfu: 32.64 | epoch: 1 | total time: 0.14m
step 00062 (6.69%) | loss: 1.821586 | lrm: 1.00 | dt: 161.78ms | tok/sec: 810,177 | mfu: 35.90 | epoch: 1 | total time: 0.15m
step 00063 (6.80%) | loss: 1.832838 | lrm: 1.00 | dt: 181.29ms | tok/sec: 722,994 | mfu: 32.03 | epoch: 1 | total time: 0.15m
step 00064 (6.91%) | loss: 1.837191 | lrm: 1.00 | dt: 161.03ms | tok/sec: 813,964 | mfu: 36.06 | epoch: 1 | total time: 0.15m
step 00065 (7.02%) | loss: 1.884130 | lrm: 1.00 | dt: 180.03ms | tok/sec: 728,044 | mfu: 32.26 | epoch: 1 | total time: 0.16m
step 00066 (7.12%) | loss: 1.876281 | lrm: 1.00 | dt: 159.41ms | tok/sec: 822,233 | mfu: 36.43 | epoch: 1 | total time: 0.16m
step 00067 (7.23%) | loss: 1.842820 | lrm: 1.00 | dt: 180.50ms | tok/sec: 726,169 | mfu: 32.17 | epoch: 1 | total time: 0.16m
step 00068 (7.34%) | loss: 1.844241 | lrm: 1.00 | dt: 163.17ms | tok/sec: 803,289 | mfu: 35.59 | epoch: 1 | total time: 0.16m
step 00069 (7.45%) | loss: 1.815216 | lrm: 1.00 | dt: 175.46ms | tok/sec: 747,004 | mfu: 33.10 | epoch: 1 | total time: 0.17m
step 00070 (7.56%) | loss: 1.843376 | lrm: 1.00 | dt: 166.81ms | tok/sec: 785,758 | mfu: 34.81 | epoch: 1 | total time: 0.17m
step 00071 (7.67%) | loss: 1.857440 | lrm: 1.00 | dt: 174.58ms | tok/sec: 750,780 | mfu: 33.26 | epoch: 1 | total time: 0.17m
step 00072 (7.78%) | loss: 1.876759 | lrm: 1.00 | dt: 170.13ms | tok/sec: 770,444 | mfu: 34.14 | epoch: 1 | total time: 0.18m
step 00073 (7.89%) | loss: 1.959487 | lrm: 1.00 | dt: 169.03ms | tok/sec: 775,427 | mfu: 34.36 | epoch: 1 | total time: 0.18m
step 00074 (8.00%) | loss: 1.979666 | lrm: 1.00 | dt: 172.94ms | tok/sec: 757,893 | mfu: 33.58 | epoch: 1 | total time: 0.18m
step 00075 (8.11%) | loss: 1.968233 | lrm: 1.00 | dt: 168.26ms | tok/sec: 778,987 | mfu: 34.51 | epoch: 1 | total time: 0.18m
step 00076 (8.21%) | loss: 1.926060 | lrm: 1.00 | dt: 174.63ms | tok/sec: 750,562 | mfu: 33.25 | epoch: 1 | total time: 0.19m
step 00077 (8.32%) | loss: 1.924670 | lrm: 1.00 | dt: 164.78ms | tok/sec: 795,442 | mfu: 35.24 | epoch: 1 | total time: 0.19m
step 00078 (8.43%) | loss: 1.937911 | lrm: 1.00 | dt: 176.08ms | tok/sec: 744,379 | mfu: 32.98 | epoch: 1 | total time: 0.19m
step 00079 (8.54%) | loss: 1.906724 | lrm: 1.00 | dt: 163.51ms | tok/sec: 801,605 | mfu: 35.52 | epoch: 1 | total time: 0.20m
step 00080 (8.65%) | loss: 1.925593 | lrm: 1.00 | dt: 180.24ms | tok/sec: 727,220 | mfu: 32.22 | epoch: 1 | total time: 0.20m
step 00081 (8.76%) | loss: 1.853321 | lrm: 1.00 | dt: 161.19ms | tok/sec: 813,152 | mfu: 36.03 | epoch: 1 | total time: 0.20m
step 00082 (8.87%) | loss: 1.846931 | lrm: 1.00 | dt: 178.91ms | tok/sec: 732,606 | mfu: 32.46 | epoch: 1 | total time: 0.20m
step 00083 (8.97%) | loss: 1.840891 | lrm: 1.00 | dt: 160.76ms | tok/sec: 815,305 | mfu: 36.12 | epoch: 1 | total time: 0.21m
step 00084 (9.08%) | loss: 1.873765 | lrm: 1.00 | dt: 181.64ms | tok/sec: 721,593 | mfu: 31.97 | epoch: 1 | total time: 0.21m
step 00085 (9.19%) | loss: 1.905354 | lrm: 1.00 | dt: 161.45ms | tok/sec: 811,864 | mfu: 35.97 | epoch: 1 | total time: 0.21m
step 00086 (9.29%) | loss: 1.846834 | lrm: 1.00 | dt: 178.58ms | tok/sec: 733,982 | mfu: 32.52 | epoch: 1 | total time: 0.22m
step 00087 (9.40%) | loss: 1.772461 | lrm: 1.00 | dt: 161.09ms | tok/sec: 813,662 | mfu: 36.05 | epoch: 1 | total time: 0.22m
step 00088 (9.50%) | loss: 1.803605 | lrm: 1.00 | dt: 176.88ms | tok/sec: 741,021 | mfu: 32.83 | epoch: 1 | total time: 0.22m
step 00089 (9.61%) | loss: 1.785988 | lrm: 1.00 | dt: 164.61ms | tok/sec: 796,235 | mfu: 35.28 | epoch: 1 | total time: 0.22m
step 00090 (9.72%) | loss: 1.781456 | lrm: 1.00 | dt: 174.84ms | tok/sec: 749,653 | mfu: 33.21 | epoch: 1 | total time: 0.23m
step 00091 (9.83%) | loss: 1.788635 | lrm: 1.00 | dt: 167.27ms | tok/sec: 783,596 | mfu: 34.72 | epoch: 1 | total time: 0.23m
step 00092 (9.94%) | loss: 1.752315 | lrm: 1.00 | dt: 170.87ms | tok/sec: 767,098 | mfu: 33.99 | epoch: 1 | total time: 0.23m
step 00093 (10.04%) | loss: 1.784134 | lrm: 1.00 | dt: 171.29ms | tok/sec: 765,222 | mfu: 33.90 | epoch: 1 | total time: 0.24m
step 00094 (10.15%) | loss: 1.769622 | lrm: 1.00 | dt: 169.16ms | tok/sec: 774,854 | mfu: 34.33 | epoch: 1 | total time: 0.24m
step 00095 (10.26%) | loss: 1.755352 | lrm: 1.00 | dt: 172.32ms | tok/sec: 760,638 | mfu: 33.70 | epoch: 1 | total time: 0.24m
step 00096 (10.36%) | loss: 1.713871 | lrm: 1.00 | dt: 167.98ms | tok/sec: 780,260 | mfu: 34.57 | epoch: 1 | total time: 0.24m
step 00097 (10.47%) | loss: 1.656018 | lrm: 1.00 | dt: 176.31ms | tok/sec: 743,429 | mfu: 32.94 | epoch: 1 | total time: 0.25m
step 00098 (10.58%) | loss: 1.559802 | lrm: 1.00 | dt: 164.44ms | tok/sec: 797,090 | mfu: 35.32 | epoch: 1 | total time: 0.25m
step 00099 (10.69%) | loss: 1.601197 | lrm: 1.00 | dt: 176.43ms | tok/sec: 742,909 | mfu: 32.92 | epoch: 1 | total time: 0.25m
step 00100 (10.79%) | loss: 1.589765 | lrm: 1.00 | dt: 161.30ms | tok/sec: 812,606 | mfu: 36.00 | epoch: 1 | total time: 0.26m
Step 00100 | Validation bpb: 1.1472
step 00101 (10.90%) | loss: 1.597454 | lrm: 1.00 | dt: 165.09ms | tok/sec: 793,945 | mfu: 35.18 | epoch: 1 | total time: 0.26m
step 00102 (11.01%) | loss: 1.634124 | lrm: 1.00 | dt: 177.06ms | tok/sec: 740,287 | mfu: 32.80 | epoch: 1 | total time: 0.26m
step 00103 (11.11%) | loss: 1.643416 | lrm: 1.00 | dt: 162.32ms | tok/sec: 807,514 | mfu: 35.78 | epoch: 1 | total time: 0.26m
step 00104 (11.22%) | loss: 1.623195 | lrm: 1.00 | dt: 180.93ms | tok/sec: 724,445 | mfu: 32.10 | epoch: 1 | total time: 0.27m
step 00105 (11.33%) | loss: 1.651692 | lrm: 1.00 | dt: 159.55ms | tok/sec: 821,497 | mfu: 36.40 | epoch: 1 | total time: 0.27m
step 00106 (11.43%) | loss: 1.629668 | lrm: 1.00 | dt: 178.36ms | tok/sec: 734,873 | mfu: 32.56 | epoch: 1 | total time: 0.27m
step 00107 (11.54%) | loss: 1.647604 | lrm: 1.00 | dt: 160.64ms | tok/sec: 815,956 | mfu: 36.15 | epoch: 1 | total time: 0.28m
step 00108 (11.65%) | loss: 1.647019 | lrm: 1.00 | dt: 179.31ms | tok/sec: 730,977 | mfu: 32.39 | epoch: 1 | total time: 0.28m
step 00109 (11.76%) | loss: 1.621987 | lrm: 1.00 | dt: 163.73ms | tok/sec: 800,530 | mfu: 35.47 | epoch: 1 | total time: 0.28m
step 00110 (11.87%) | loss: 1.615749 | lrm: 1.00 | dt: 172.47ms | tok/sec: 759,976 | mfu: 33.67 | epoch: 1 | total time: 0.28m
step 00111 (11.97%) | loss: 1.588595 | lrm: 1.00 | dt: 179.34ms | tok/sec: 730,850 | mfu: 32.38 | epoch: 1 | total time: 0.29m
step 00112 (12.08%) | loss: 1.612213 | lrm: 1.00 | dt: 190.25ms | tok/sec: 688,951 | mfu: 30.52 | epoch: 1 | total time: 0.29m
step 00113 (12.19%) | loss: 1.616817 | lrm: 1.00 | dt: 167.54ms | tok/sec: 782,316 | mfu: 34.66 | epoch: 1 | total time: 0.29m
step 00114 (12.30%) | loss: 1.652326 | lrm: 1.00 | dt: 174.72ms | tok/sec: 750,194 | mfu: 33.24 | epoch: 1 | total time: 0.30m
step 00115 (12.40%) | loss: 1.607273 | lrm: 1.00 | dt: 167.38ms | tok/sec: 783,093 | mfu: 34.70 | epoch: 1 | total time: 0.30m
step 00116 (12.51%) | loss: 1.620400 | lrm: 1.00 | dt: 170.65ms | tok/sec: 768,066 | mfu: 34.03 | epoch: 1 | total time: 0.30m
step 00117 (12.61%) | loss: 1.625700 | lrm: 1.00 | dt: 171.65ms | tok/sec: 763,604 | mfu: 33.83 | epoch: 1 | total time: 0.30m
step 00118 (12.73%) | loss: 1.594726 | lrm: 1.00 | dt: 166.04ms | tok/sec: 789,389 | mfu: 34.97 | epoch: 1 | total time: 0.31m
step 00119 (12.84%) | loss: 1.565302 | lrm: 1.00 | dt: 175.99ms | tok/sec: 744,772 | mfu: 33.00 | epoch: 1 | total time: 0.31m
step 00120 (12.94%) | loss: 1.479024 | lrm: 1.00 | dt: 162.21ms | tok/sec: 808,021 | mfu: 35.80 | epoch: 1 | total time: 0.31m
step 00121 (13.05%) | loss: 1.478060 | lrm: 1.00 | dt: 179.38ms | tok/sec: 730,696 | mfu: 32.37 | epoch: 1 | total time: 0.32m
step 00122 (13.16%) | loss: 1.470925 | lrm: 1.00 | dt: 162.41ms | tok/sec: 807,053 | mfu: 35.76 | epoch: 1 | total time: 0.32m
step 00123 (13.26%) | loss: 1.465599 | lrm: 1.00 | dt: 179.08ms | tok/sec: 731,912 | mfu: 32.43 | epoch: 1 | total time: 0.32m
step 00124 (13.37%) | loss: 1.478050 | lrm: 1.00 | dt: 160.04ms | tok/sec: 819,001 | mfu: 36.29 | epoch: 1 | total time: 0.32m
step 00125 (13.48%) | loss: 1.507679 | lrm: 1.00 | dt: 182.88ms | tok/sec: 716,713 | mfu: 31.75 | epoch: 1 | total time: 0.33m
step 00126 (13.59%) | loss: 1.571966 | lrm: 1.00 | dt: 160.72ms | tok/sec: 815,552 | mfu: 36.13 | epoch: 1 | total time: 0.33m
step 00127 (13.70%) | loss: 1.571388 | lrm: 1.00 | dt: 181.11ms | tok/sec: 723,730 | mfu: 32.07 | epoch: 1 | total time: 0.33m
step 00128 (13.81%) | loss: 1.577655 | lrm: 1.00 | dt: 159.63ms | tok/sec: 821,081 | mfu: 36.38 | epoch: 1 | total time: 0.34m
step 00129 (13.91%) | loss: 1.541110 | lrm: 1.00 | dt: 178.77ms | tok/sec: 733,194 | mfu: 32.49 | epoch: 1 | total time: 0.34m
step 00130 (14.02%) | loss: 1.547720 | lrm: 1.00 | dt: 164.22ms | tok/sec: 798,149 | mfu: 35.36 | epoch: 1 | total time: 0.34m
step 00131 (14.13%) | loss: 1.502727 | lrm: 1.00 | dt: 174.00ms | tok/sec: 753,306 | mfu: 33.38 | epoch: 1 | total time: 0.34m
